"BehaviorSpace results (NetLogo 6.0.4)"
"model-SASI.nlogo"
"exp1-R0"
"04/15/2020 14:49:09:942 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-80","80","-80","80"
"[run number]","scenarios","density","rayon","quarantaine","p-asymptomatiques","p-symptomatiques","p-immuniser","p-mort","p-sains","p-vacciner","vitesse-de-deplacement-groupe","[step]","(count turtles  - count turtles with [state = 0]) / count turtles","mean [statistique_nb_ticks_asymptomatique] of turtles with [state != 0]","mean [statistique_nb_ticks_symptomatique] of turtles with [state != 0]","mean [count out-link-neighbors] of turtles with [state = 3]"
"8","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","750","0.9961389961389961","9.732558139534884","101.78003875968992","0.999031007751938"
"1","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","823","0.9932432432432432","9.95821185617104","101.57725947521865","0.9980563654033042"
"3","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","808","0.9884169884169884","9.5361328125","101.1083984375","1"
"5","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","1149","1","10.302123552123552","100.77992277992279","1"
"2","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","943","0.9855212355212355","9.894221351616062","101.61998041136141","1"
"4","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","800","0.9980694980694981","9.987427466150871","99.63926499032883","0.9990328820116054"
"6","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","787","0.9932432432432432","10.139941690962099","97.71914480077746","1"
"7","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","1406","0.9835907335907336","9.690873405299312","100.78704612365064","0.9990186457311089"
"12","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","935","0.9961389961389961","9.843023255813954","103.40794573643412","0.999031007751938"
"10","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","1213","0.9893822393822393","10.151219512195121","94.25268292682927","1"
"15","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","1129","0.999034749034749","9.832850241545893","104.82608695652173","1"
"9","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","801","0.9845559845559846","9.792156862745099","98.19411764705882","0.9990196078431373"
"13","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","898","0.997104247104247","9.457889641819943","98.86253630203291","0.9980638915779284"
"11","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","868","0.9951737451737451","9.904946653734239","104.50533462657614","0.9990300678952473"
"14","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","883","0.9951737451737451","10.065955383123182","101.33171677982541","1"
"16","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","1039","0.9855212355212355","9.88050930460333","95.02448579823702","1"
"18","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","796","0.9903474903474904","9.56140350877193","95.11793372319688","0.9990253411306043"
"19","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","1025","1","9.845559845559846","107.29343629343629","0.9980694980694981"
"17","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","901","0.971042471042471","9.707753479125248","100.18787276341948","1"
"21","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","805","0.9932432432432432","9.779397473275024","99.57628765792032","1"
"20","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","1044","0.9845559845559846","10.142156862745098","100.40490196078431","1"
"22","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","701","0.9951737451737451","9.633365664403492","100.36178467507274","1"
"24","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","723","0.9942084942084942","9.694174757281553","92.5883495145631","0.9990291262135922"
"27","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","853","0.9864864864864865","10.051859099804306","97.91585127201566","0.9990215264187867"
"23","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","734","0.997104247104247","10.110358180058084","102.11713455953533","0.9990319457889641"
"26","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","907","0.9816602316602316","9.920353982300885","101.44346116027532","1"
"25","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","828","0.9691119691119691","9.778884462151394","99.3097609561753","0.999003984063745"
"28","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","934","0.9961389961389961","10.160852713178295","102.95736434108527","1"
"30","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","746","0.9932432432432432","9.932944606413994","98.72886297376094","1"
"29","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","874","0.9797297297297297","9.67487684729064","99.01674876847291","1"
"32","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","987","0.9951737451737451","9.561590688651794","99.25800193986422","1"
"33","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","900","0.9835907335907336","10.231599607458293","101.31207065750736","1"
"36","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","743","0.9855212355212355","9.79431929480901","95.96571988246816","0.9990205680705191"
"35","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","885","0.9874517374517374","9.820136852394917","102.4535679374389","1"
"31","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","1090","0.9613899613899614","10.374497991967871","96.73995983935743","1"
"34","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","746","0.9961389961389961","10.142441860465116","95.24612403100775","1"
"37","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","938","0.999034749034749","10.195169082125604","100.10144927536231","0.9990338164251208"
"38","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","759","0.9893822393822393","9.497560975609757","102.8848780487805","0.9990243902439024"
"39","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","804","0.9864864864864865","10.0146771037182","101.10763209393346","0.9990215264187867"
"41","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","883","0.9951737451737451","9.741028128031038","99.09796314258001","1"
"40","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","779","0.9961389961389961","10.2218992248062","102.07945736434108","0.999031007751938"
"43","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","860","0.9942084942084942","9.851456310679612","99.85436893203884","0.9980582524271845"
"44","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","1160","0.9942084942084942","9.997087378640776","102.36019417475728","0.9980582524271845"
"42","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","908","0.974903474903475","10.12079207920792","101.67227722772277","1"
"46","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","759","0.9913127413127413","9.860759493670885","101.95423563777995","1"
"45","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","797","1","9.846525096525097","98.36679536679537","0.999034749034749"
"47","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","1080","0.9874517374517374","9.96871945259042","98.10850439882698","1"
"48","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","747","0.9903474903474904","10.39571150097466","97.96296296296296","1"
"49","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","732","0.997104247104247","10.29622458857696","98.32042594385285","1"
"50","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","906","0.997104247104247","10.046466602129719","100.61568247821879","0.9990319457889641"
"51","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","862","0.9903474903474904","9.480506822612085","99.12378167641326","1"
"53","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","842","0.9951737451737451","10.02909796314258","97.38991270611058","0.9990300678952473"
"54","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","1025","0.9951737451737451","10.322017458777886","104.72259941804074","1"
"52","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","953","0.9951737451737451","10.307468477206596","97.68186226964113","0.9980601357904947"
"56","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","884","0.9951737451737451","10.416100872938895","105.26964112512124","0.9990300678952473"
"57","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","757","0.9961389961389961","10.340116279069768","99.4108527131783","1"
"55","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","834","0.9922779922779923","10.312256809338521","98.09143968871595","1"
"59","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","754","0.9961389961389961","10.084302325581396","101.16666666666667","0.999031007751938"
"58","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","739","0.9903474903474904","10.101364522417153","100.54970760233918","1"
"61","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","779","0.9961389961389961","9.687015503875969","97.99515503875969","1"
"60","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","744","1","10.062741312741313","98.26061776061776","1"
