"[run number]","scenarios","n","rayon","quarantaine","p-immuniser","p-symptomatiques","p-asymptomatiques","p-retablies","p-mort","p-vacciner","[step]","count turtles with [state = 3]/ n"
"2","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0","192","0.7"
"8","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0","178","0.643"
"6","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0","149","0.408"
"1","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0","123","0.216"
"3","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0","212","0.684"
"4","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0","193","0.625"
"5","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0","171","0.315"
"7","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0","186","0.366"
"9","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0","199","0.629"
"11","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0","215","0.547"
"14","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0","246","0.744"
"15","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0","140","0.392"
"16","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0","286","0.819"
"10","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0","279","0.496"
"12","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0","374","0.715"
"13","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0","316","0.475"
"17","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0","322","0.746"
"19","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0","166","0.43"
"18","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0","251","0.677"
"20","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0","262","0.648"
"21","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0","220","0.512"
"22","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0","256","0.557"
"23","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0","324","0.725"
"25","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0","270","0.725"
"26","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0","293","0.744"
"24","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0","158","0.133"
"27","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0","278","0.483"
"29","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0","301","0.756"
"28","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0","307","0.66"
"33","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0","202","0.839"
"30","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0","174","0.329"
"31","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0","155","0.293"
"32","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0","277","0.767"
"34","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0","194","0.536"
"41","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.05","79","0.073"
"35","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0","204","0.29"
"38","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0","154","0.277"
