"BehaviorSpace results (NetLogo 6.0.4)"
"model-SASI.nlogo"
"exp2-R0"
"04/15/2020 15:18:04:478 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-80","80","-80","80"
"[run number]","scenarios","density","rayon","quarantaine","p-symptomatiques","p-asymptomatiques","p-immuniser","p-mort","p-mort","p-sains","p-vacciner","vitesse-de-deplacement-groupe","[step]","(count turtles  - count turtles with [state = 0]) / count turtles","mean [statistique_nb_ticks_asymptomatique] of turtles with [state != 0]","mean [statistique_nb_ticks_symptomatique] of turtles with [state != 0]","mean [count out-link-neighbors] of turtles with [state = 3]"
"7","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","147","0.16988416988416988","0.9715909090909091","16.573863636363637","0.9715909090909091"
"2","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","178","0.14092664092664092","0.9657534246575342","21.164383561643834","0.9657534246575342"
"1","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","220","0.32722007722007723","0.9852507374631269","23.129793510324482","0.9852507374631269"
"5","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","209","0.19111969111969113","0.9747474747474747","21.681818181818183","0.9747474747474747"
"4","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","199","0.3764478764478765","0.9871794871794872","20.66923076923077","0.9871794871794872"
"6","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","212","0.33494208494208494","0.9855907780979827","22.32564841498559","0.9855907780979827"
"8","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","217","0.38706563706563707","0.9875311720698254","17.940149625935163","0.9875311720698254"
"3","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","218","0.24806949806949807","0.980544747081712","19.311284046692606","0.980544747081712"
"10","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","206","0.26640926640926643","0.9818840579710145","19.782608695652176","0.9818840579710145"
"9","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","280","0.3416988416988417","0.9858757062146892","19.757062146892654","0.9858757062146892"
"13","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","166","0.15057915057915058","0.967948717948718","19.115384615384617","0.967948717948718"
"11","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","263","0.22104247104247104","0.9781659388646288","20.46288209606987","0.9781659388646288"
