"[run number]","scenarios","density","rayon","quarantaine","p-immuniser","p-symptomatiques","p-asymptomatiques","p-mort","vitesse-de-deplacement-groupe","[step]","count turtles","mean [statistique_nb_ticks_asymptomatique] of turtles with [state != 0]","mean [statistique_nb_ticks_symptomatique] of turtles with [state != 0]","sum [count out-link-neighbors] of turtles with [ who mod 2 = 0]","sum [count out-link-neighbors] of turtles with [ who mod 2 = 1]","count turtles with [state = 3 and who mod 2 = 0]","count turtles with [state = 3 and who mod 2 = 1]"
"3","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1","214","1036","0.9948132780082988","20.843360995850624","445","514","279","305"
"2","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1","259","1036","0.9944320712694877","20.38641425389755","446","447","282","270"
"4","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1","293","1036","0.9946808510638298","21.640425531914893","436","499","269","269"
"8","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1","223","1036","0.9946808510638298","18.862765957446808","475","460","293","286"
"1","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1","295","1036","0.9945533769063181","20.224400871459697","461","452","290","284"
"6","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1","375","1036","0.9943117178612059","19.25028441410694","457","417","274","243"
"5","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1","225","1036","0.9932523616734144","20.25506072874494","404","332","230","232"
"7","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1","208","1036","0.9901960784313726","20.527450980392157","254","251","154","156"
"11","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1","347","1036","0.9948024948024948","21.241164241164242","480","477","276","298"
"9","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1","327","1036","0.9941176470588236","20.235294117647058","412","433","232","268"
"13","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1","298","1036","0.9942987457240593","20.212086659064994","429","443","286","255"
"15","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1","247","1036","0.9942726231386025","19.70332187857961","443","425","275","261"
"16","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1","262","1036","0.9945770065075922","20.04989154013015","444","473","274","281"
"14","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1","289","1036","0.9941107184923439","20.79858657243816","401","443","232","253"
"10","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1","439","1036","0.9941176470588236","20.396470588235292","410","435","258","249"
"17","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1","236","1036","0.9944629014396457","20.501661129568106","447","451","282","286"
"12","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1","331","1036","0.9928774928774928","19.951566951566953","364","333","209","218"
"20","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1","263","1036","0.9944629014396457","19.92248062015504","487","411","281","256"
"18","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1","270","1036","0.9945295404814004","20.514223194748357","470","439","279","273"
"19","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1","309","1036","0.9943052391799544","20.310933940774486","472","401","281","265"
"21","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1","385","1036","0.9941927990708479","19.70267131242741","415","441","260","266"
"24","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1","252","1036","0.9946751863684771","20.352502662406817","460","474","283","279"
"26","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1","297","1036","0.9949647532729103","21.555891238670696","513","475","297","306"
"22","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1","334","1036","0.9939686369119421","19.503015681544028","409","415","258","254"
"23","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1","237","1036","0.9926144756277696","20.045790251107828","322","350","220","186"
"27","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1","300","1036","0.9945593035908596","20.69640914036997","435","479","274","293"
"28","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1","293","1036","0.9946581196581197","20.340811965811966","438","493","289","292"
"30","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1","270","1036","0.994232987312572","20.494809688581316","481","381","275","264"
"29","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1","251","1036","0.9939024390243902","20.252439024390245","393","422","244","271"
"34","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1","296","1036","0.9946236559139785","20.238709677419354","464","461","295","279"
"25","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1","451","1036","0.9941176470588236","19.78235294117647","410","435","252","250"
"32","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1","237","1036","0.993421052631579","19.74473684210526","388","367","243","223"
"33","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1","256","1036","0.9945828819068255","21.278439869989167","477","441","260","288"
"31","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1","300","1036","0.9943052391799544","19.674259681093393","415","458","256","283"
"35","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1","248","1036","0.9945828819068255","20.535211267605632","438","480","264","270"
"41","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1.5","218","1036","0.9951219512195122","20.18341463414634","530","490","313","320"
"42","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1.5","221","1036","0.9950347567030785","21.427010923535253","512","490","325","295"
"40","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1","242","1036","0.9944567627494457","21.7039911308204","428","469","284","292"
"44","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1.5","225","1036","0.9950884086444007","20.16994106090373","567","446","309","326"
"38","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1","270","1036","0.9944258639910813","19.190635451505017","454","438","257","259"
"43","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1.5","204","1036","0.9946808510638298","20.832978723404256","518","417","278","281"
"39","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1","285","1036","0.9941176470588236","20.089411764705883","437","408","242","258"
"36","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1","288","1036","0.9935979513444302","20.33674775928297","369","407","259","237"
"45","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1.5","255","1036","0.9949135300101729","20.850457782299085","563","415","301","316"
"49","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1.5","193","1036","0.9950347567030785","20.346573982125125","543","459","304","313"
"37","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1","416","1036","0.9939172749391727","19.43552311435523","379","438","253","254"
"46","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1.5","245","1036","0.9950396825396826","21.202380952380953","545","458","305","302"
"48","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1.5","236","1036","0.9950787401574803","21.3001968503937","543","468","296","313"
"47","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1.5","251","1036","0.9950932286555446","20.768400392541707","535","479","305","314"
"52","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1.5","214","1036","0.9949545913218971","21.06962663975782","517","469","310","288"
"50","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1.5","278","1036","0.9949698189134809","20.316901408450704","517","472","304","294"
"54","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1.5","259","1036","0.995","19.95","569","426","297","302"
"51","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1.5","259","1036","0.9947916666666666","19.560416666666665","500","455","294","304"
"53","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1.5","214","1036","0.9946751863684771","20.135250266240682","494","440","299","293"
"56","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1.5","207","1036","0.9950592885375494","20.34288537549407","562","445","304","312"
"57","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1.5","269","1036","0.994994994994995","20.74074074074074","538","456","304","291"
"55","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1.5","227","1036","0.9948186528497409","20.083937823834198","528","432","297","286"
"58","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1.5","229","1036","0.9949596774193549","20.288306451612904","548","439","318","290"
"59","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1.5","255","1036","0.9949545913218971","19.782038345105953","542","444","300","280"
"61","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1.5","221","1036","0.995069033530572","19.86587771203156","558","451","310","304"
"62","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1.5","208","1036","0.9946977730646872","19.757158006362673","492","446","285","281"
"60","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1.5","215","1036","0.995","19.879","542","453","284","297"
"63","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1.5","278","1036","0.995069033530572","21.763313609467456","541","468","325","294"
"65","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1.5","207","1036","0.9947257383966245","20.27426160337553","522","421","286","288"
"66","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1.5","230","1036","0.9949443882709808","20.61577350859454","532","452","310","294"
"69","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1.5","167","1036","0.9950592885375494","21.775691699604742","541","466","325","302"
"64","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1.5","308","1036","0.9949135300101729","20.437436419125127","511","467","294","299"
"68","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1.5","193","1036","0.9950884086444007","20.737721021611","563","450","305","323"
"67","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1.5","271","1036","0.9949443882709808","20.217391304347824","527","457","323","305"
"73","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1.5","214","1036","0.9949443882709808","18.23154701718908","544","440","301","281"
"71","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1.5","269","1036","0.9950248756218906","20.748258706467663","531","469","296","306"
"72","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1.5","215","1036","0.9950544015825915","20.369930761622157","552","454","315","320"
"70","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1.5","246","1036","0.9944506104328524","20.264150943396228","483","413","260","272"
"74","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1.5","306","1036","0.9950248756218906","19.99601990049751","526","474","299","305"
"75","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1.5","258","1036","0.9949392712550608","19.52834008097166","536","447","296","296"
"77","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1.5","203","1036","0.9949799196787149","20.65963855421687","530","461","282","301"
"76","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1.5","291","1036","0.9948822927328557","20.562947799385874","513","459","321","293"
"78","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1.5","246","1036","0.995","19.978","537","458","299","316"
"82","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2","204","1036","0.995136186770428","20.245136186770427","587","436","318","308"
"79","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1.5","221","1036","0.994908350305499","21.39307535641548","492","485","307","300"
"81","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2","234","1036","0.9950980392156863","20.127450980392158","595","420","294","312"
"83","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2","179","1036","0.9950932286555446","20.407262021589794","606","408","324","303"
"80","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","1.5","233","1036","0.9949341438703141","20.53292806484296","542","440","292","295"
"86","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2","174","1036","0.9951314508276533","19.992210321324244","577","445","324","308"
"84","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2","196","1036","0.9951076320939335","20.162426614481408","586","431","317","307"
"85","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2","169","1036","0.9950396825396826","19.797619047619047","555","448","325","301"
"88","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2","184","1036","0.9951171875","21.4853515625","546","473","308","313"
"87","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2","224","1036","0.9950835791543756","19.597836774827925","567","445","310","310"
"89","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2","186","1036","0.995164410058027","20.545454545454547","568","461","299","321"
"90","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2","193","1036","0.995164410058027","21.70019342359768","594","435","313","308"
"91","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2","180","1036","0.9951409135082604","20.282798833819243","599","425","316","311"
"92","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2","228","1036","0.9950932286555446","20.42394504416094","603","411","307","326"
"95","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2","170","1036","0.9951219512195122","21.366829268292683","598","422","318","310"
"93","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2","200","1036","0.9951124144672532","18.866080156402738","555","463","309","324"
"94","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2","199","1036","0.9951076320939335","20.50293542074364","574","443","307","319"
"96","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2","168","1036","0.9951314508276533","20.804284323271666","577","445","326","291"
"99","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2","222","1036","0.9950592885375494","20.34881422924901","560","447","289","317"
"98","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2","266","1036","0.9950884086444007","19.029469548133594","587","426","327","313"
"100","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2","231","1036","0.9950835791543756","19.863323500491642","564","448","293","309"
"97","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2","233","1036","0.995049504950495","20.437623762376237","572","433","278","302"
"102","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2","208","1036","0.9951409135082604","20.438289601554906","585","439","310","324"
"103","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2","172","1036","0.9951550387596899","20.835271317829456","579","448","327","317"
"101","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2","219","1036","0.9951219512195122","20.885853658536586","612","408","327","317"
"104","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2","193","1036","0.9950738916256158","20.196059113300493","578","432","318","313"
"105","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2","197","1036","0.9950884086444007","20.05697445972495","584","429","317","299"
"106","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2","196","1036","0.9951550387596899","21.09108527131783","576","451","304","318"
"107","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2","210","1036","0.9951124144672532","20.207233626588465","585","433","337","300"
"108","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2","222","1036","0.9951076320939335","20.60665362035225","567","450","319","316"
"112","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2","213","1036","0.9951409135082604","20.741496598639454","574","450","302","309"
"110","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2","209","1036","0.9950835791543756","20.880039331366763","587","425","316","307"
"113","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2","228","1036","0.9951171875","19.447265625","562","457","314","323"
"109","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2","197","1036","0.995069033530572","19.014792899408285","572","437","308","305"
"111","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2","247","1036","0.9950932286555446","20.057899901864573","574","440","320","313"
"114","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2","196","1036","0.9951076320939335","20.078277886497066","557","460","312","308"
"115","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2","165","1036","0.9951076320939335","19.868884540117417","586","431","323","301"
"118","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2","179","1036","0.9951267056530214","20.63450292397661","589","432","304","302"
"116","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2","214","1036","0.9951456310679612","19.703883495145632","606","419","303","302"
"117","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2","229","1036","0.9951550387596899","20.9437984496124","590","437","317","325"
"120","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2","170","1036","0.9951267056530214","19.48148148148148","594","427","326","299"
"121","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2.5","184","1036","0.995136186770428","20.740272373540854","611","412","301","315"
"123","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2.5","217","1036","0.9951267056530214","20.476608187134502","613","408","274","326"
"119","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2","198","1036","0.9950641658440277","20.587364264560712","581","427","305","288"
"122","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2.5","171","1036","0.9951550387596899","19.93217054263566","601","426","323","331"
"124","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2.5","158","1036","0.995159728944821","19.37270087124879","592","436","322","296"
"125","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2.5","198","1036","0.9951503394762367","20.103782735208537","594","432","328","320"
"127","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2.5","219","1036","0.9951690821256038","19.731400966183575","610","420","295","305"
"131","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2.5","180","1036","0.995164410058027","20.83752417794971","651","378","305","332"
"129","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2.5","157","1036","0.9951690821256038","21.41449275362319","622","408","315","313"
"126","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2.5","196","1036","0.9950932286555446","19.947006869479882","617","397","305","299"
"128","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2.5","204","1036","0.9951550387596899","20.636627906976745","670","357","317","295"
"130","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2.5","166","1036","0.9951503394762367","19.766246362754607","601","425","310","309"
"132","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2.5","144","1036","0.9951550387596899","20.776162790697676","608","419","328","299"
"133","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2.5","188","1036","0.9951171875","19.568359375","619","400","315","303"
"136","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2.5","156","1036","0.9950835791543756","20.969518190757128","584","428","298","301"
"137","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2.5","171","1036","0.9951690821256038","20.296618357487922","631","399","323","310"
"138","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2.5","184","1036","0.995159728944821","20.246853823814135","584","444","316","299"
"134","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2.5","221","1036","0.995159728944821","20.05614714424008","620","408","314","321"
"135","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2.5","209","1036","0.995136186770428","19.872568093385215","609","414","334","291"
"139","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2.5","195","1036","0.9951550387596899","19.227713178294575","613","414","310","327"
"140","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2.5","195","1036","0.995164410058027","19.04448742746615","600","429","302","323"
