"[run number]","scenarios","n","rayon","Quarantaine","p-immuniser","p-symptomatiques","p-asymptomatiques","p-retablies","p-mort","[step]","count turtles with [state = 0]","count turtles with [state = 1]","count turtles with [state = 2]"
"2","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","0","995","5","0"
"8","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","0","995","5","0"
"7","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","0","995","5","0"
"6","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","0","995","5","0"
"3","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","0","995","5","0"
"5","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","0","995","5","0"
"4","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","0","995","5","0"
"1","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","0","995","5","0"
"3","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","1","992","7","1"
"8","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","1","988","12","0"
"1","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","1","990","9","1"
"6","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","1","986","14","0"
"2","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","1","988","11","1"
"4","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","1","991","9","0"
"7","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","1","994","5","1"
"5","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","1","992","8","0"
"8","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","2","978","20","2"
"3","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","2","984","14","2"
"2","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","2","980","19","1"
"1","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","2","979","18","3"
"6","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","2","975","25","0"
"7","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","2","988","10","2"
"4","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","2","981","17","2"
"8","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","3","972","25","3"
"3","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","3","979","17","4"
"5","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","2","981","19","0"
"2","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","3","976","23","1"
"1","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","3","968","29","3"
"6","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","3","966","28","6"
"7","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","3","985","13","2"
"4","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","3","966","31","3"
"8","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","4","969","25","6"
"5","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","3","977","21","2"
"3","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","4","977","15","6"
"2","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","4","974","18","8"
"7","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","4","983","14","3"
"1","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","4","960","36","4"
"4","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","4","956","40","4"
"6","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","4","954","39","7"
"3","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","5","973","17","8"
"2","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","5","973","14","11"
"8","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","5","965","23","12"
"5","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","4","970","27","3"
"1","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","5","949","42","9"
"7","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","5","978","17","5"
"3","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","6","967","23","8"
"2","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","6","972","15","10"
"8","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","6","961","26","13"
"6","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","5","942","49","9"
"4","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","5","948","45","7"
"1","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","6","941","46","13"
"5","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","5","963","30","7"
"7","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","6","974","19","7"
"3","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","7","962","28","8"
"8","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","7","957","27","13"
"2","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","7","969","16","11"
"6","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","6","930","57","12"
"1","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","7","931","53","15"
"7","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","7","970","19","9"
"4","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","6","935","54","11"
"5","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","6","958","29","13"
"3","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","8","958","26","14"
"2","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","8","966","17","12"
"8","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","8","954","27","15"
"7","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","8","963","24","11"
"6","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","7","917","64","18"
"4","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","7","928","57","15"
"1","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","8","923","55","20"
