"[run number]","scenarios","n","rayon","Quarantaine","p-immuniser","p-symptomatiques","p-asymptomatiques","p-retablies","p-mort","[step]","(n  - count turtles with [state = 0])/ n","mean [statistique_nb_ticks_asymptomatique] of turtles with [state != 0]","mean [statistique_nb_ticks_symptomatique] of turtles with [state != 0]"
"1","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","217","0.607","9.72322899505766","9.453047775947281"
"8","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","232","0.577","9.819757365684575","9.95320623916811"
"7","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","263","0.608","10.092105263157896","9.81578947368421"
"2","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","300","0.71","10.216901408450704","10.119718309859154"
"4","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","238","0.482","9.794605809128631","10.107883817427386"
"5","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","292","0.512","9.701171875","10.98046875"
"6","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","350","0.602","9.777408637873755","9.988372093023257"
"10","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","144","0.511","9.383561643835616","10.360078277886497"
"3","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","383","0.666","10.06006006006006","10.692192192192191"
"14","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","222","0.756","10.260582010582011","9.951058201058201"
"13","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","192","0.618","9.606796116504855","10.033980582524272"
"11","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","194","0.271","10.118081180811808","11.029520295202952"
"12","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","272","0.475","10.23157894736842","10.433684210526316"
"9","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","359","0.585","10.323076923076924","10.511111111111111"
"18","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","186","0.644","10.088509316770187","10.003105590062113"
"17","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","294","0.698","10.62893982808023","9.606017191977077"
"16","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","229","0.412","9.400485436893204","10.83495145631068"
"15","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","313","0.661","9.874432677760968","9.971255673222391"
"19","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","262","0.638","10.498432601880877","9.775862068965518"
"21","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","244","0.659","9.811836115326251","10.071320182094082"
"22","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","222","0.672","10.183035714285714","10.415178571428571"
"20","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","349","0.702","10.36039886039886","10.564102564102564"
"23","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","199","0.526","9.798479087452472","10.136882129277566"
"26","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","222","0.76","9.973684210526315","10.81842105263158"
"24","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","137","0.272","10.165441176470589","10.488970588235293"
"25","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","219","0.569","10.061511423550089","9.882249560632689"
"27","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","239","0.722","10.314404432132964","10.447368421052632"
"28","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","243","0.691","10.426917510853835","10.549927641099856"
"32","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","162","0.766","9.702349869451696","10.445169712793733"
"33","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","130","0.331","9.700906344410877","10.422960725075528"
"30","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","251","0.528","10.31060606060606","10.268939393939394"
"35","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","190","0.63","10.444444444444445","10.863492063492064"
"36","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","191","0.575","10.311304347826088","10.128695652173914"
"29","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","418","0.704","10.568181818181818","10.282670454545455"
